id_vente,date_vente,client,produit,quantite,prix_unitaire,remise,montant_total,point_vente,mois,annee,semaine
V00001,2024-04-24,Sara Ait Ali,MUSC BLANC,2,352.6,0.0,705.2,Casablanca Anfa,4,2024,17
V00002,2025-07-12,Youssef Ouardi,CITRUS BREEZE,1,289.91,5.0,289.91,Rabat Agdal,7,2025,28
V00003,2025-06-01,Nadia Benali,JASMIN PURE,2,438.15,0.0,876.3,Tanger Corniche,6,2025,22
V00004,2024-08-13,Imane Ouardi,BOIS MYSTIQUE,1,631.06,0.0,631.06,Casablanca Anfa,8,2024,33
V00005,2025-03-08,Mohamed Ait Ali,VANILLE INTENSE,2,545.72,15.0,1091.44,Casablanca Maarif,3,2025,10
V00006,2024-04-04,Fatima El Amrani,FLORAL INTENSE,3,408.3,0.0,1224.9,Casablanca Anfa,4,2024,14
V00007,2025-04-15,Omar El Amrani,CITRUS BREEZE,1,323.33,20.0,323.33,Rabat Hay Riad,4,2025,16
V00008,2025-01-05,Nadia Bouziane,OUD ROYAL,1,774.19,10.0,774.19,Casablanca Maarif,1,2025,1
V00009,2024-08-26,Youssef Rachid,BOIS MYSTIQUE,4,616.28,15.0,2465.12,Rabat Agdal,8,2024,35
V00010,2025-01-14,Mohamed Bouziane,BOIS MYSTIQUE,1,613.1,0.0,613.1,Agadir Marina,1,2025,3
V00011,2024-09-07,Lina Hassan,CITRUS BREEZE,3,351.33,0.0,1053.99,Rabat Agdal,9,2024,36
V00012,2024-11-28,Sara Bouziane,ROSE ÉLÉGANCE,3,441.1,0.0,1323.3000000000002,Rabat Agdal,11,2024,48
V00013,2025-08-03,Mohamed Bouziane,AMBER NIGHT,4,732.32,0.0,2929.28,Rabat Agdal,8,2025,31
V00014,2024-09-28,Lina Bouziane,JASMIN PURE,5,400.07,20.0,2000.35,Tanger Corniche,9,2024,39
V00015,2025-08-20,Fatima Zahra,MUSC BLANC,2,380.72,0.0,761.44,Rabat Hay Riad,8,2025,34
V00016,2024-02-18,Youssef Khadiri,VANILLE INTENSE,4,509.64,0.0,2038.56,Tanger Corniche,2,2024,7
V00017,2025-09-02,Imane Mehdi,BOIS MYSTIQUE,5,643.29,0.0,3216.45,Casablanca Anfa,9,2025,36
V00018,2024-04-27,Omar Ait Ali,FLORAL INTENSE,1,383.48,0.0,383.48,Tanger Corniche,4,2024,17
V00019,2024-01-04,Amal Mehdi,VANILLE INTENSE,5,541.26,10.0,2706.3,Rabat Hay Riad,1,2024,1
V00020,2025-06-03,Nadia Bouziane,VANILLE INTENSE,3,526.25,0.0,1578.75,Rabat Hay Riad,6,2025,23
V00021,2025-06-27,Sara Ouardi,FLORAL INTENSE,4,361.56,15.0,1446.24,Rabat Hay Riad,6,2025,26
V00022,2024-11-10,Karim Benali,MUSC BLANC,5,413.97,0.0,2069.8500000000004,Casablanca Anfa,11,2024,45
V00023,2025-05-12,Youssef Mehdi,VANILLE INTENSE,2,515.98,0.0,1031.96,Rabat Agdal,5,2025,20
V00024,2024-09-28,Omar Ouardi,CITRUS BREEZE,2,347.45,5.0,694.9,Casablanca Anfa,9,2024,39
